brand_id, active,brand_name,is_deleted,description,category_id,flavour_id,created_at,is_deleted,description,flavour_name,updated_at, brand_id,is_active,id,created_at,description ,is_active ,is_deleted,name
1,1,AlphaTech,0,Refreshing and flavorful beverages for all tastes.,522,27,1/9/2024 19:03,0,Earthy and sweet with beetroot depth,Specialty cocktail mixers,1/9/2024 19:03,734,1,27,1/9/2024 19:03,High-quality digital marketing sourced from trusted suppliers.,1,0,Watches
2,1,BetaFoods,0,Household essentials crafted with quality in mind.,609,28,5/31/2023 10:25,0,Tangy and refreshing with passion fruit,Quality outdoor apparel,5/31/2023 10:25,118,1,28,5/31/2023 10:25,Leading provider of cutting-edge designs for modern businesses.,1,0,Lighting & Decor
3,1,GammaWear,0,Creative media production and digital campaigns.,715,29,7/6/2025 16:10,0,Smooth and mellow with maple syrup,Innovative fitness tools,7/6/2025 16:10,441,1,29,7/6/2025 16:10,Premium unique offerings designed for daily use.,1,0,Collectibles
4,1,DeltaDrinks,0,Fresh groceries sourced from trusted suppliers.,52,30,8/19/2024 12:41,0,Zesty and aromatic with bergamot oil,Comfortable loungewear,8/19/2024 12:41,365,1,30,8/19/2024 12:41,Fun and educational fashion and apparel for children of all ages.,1,0,Industrial Supplies
5,1,EpsilonGoods,0,High-quality fabrics for fashion and interior design.,830,31,3/4/2023 21:17,0,Creamy and soft with white chocolate,Natural facial cleansers,3/4/2023 21:17,587,1,31,3/4/2023 21:17,Creative solutions for home and lifestyle products to enhance productivity.,1,0,Software
6,1,ZetaMedia,0,Innovative health and wellness products.,44,32,12/15/2025 8:07,0,Fruity and juicy with watermelon burst,Gourmet baking ingredients,12/15/2025 8:07,660,1,32,12/15/2025 8:07,Advanced technology-driven services for smarter living.,1,0,Luxury Goods
7,1,EtaFresh,0,Electronics that combine style and performance.,845,33,10/27/2024 17:56,0,Spicy and fiery with chili pepper heat,Outdoor picnic sets,10/27/2024 17:56,304,1,33,10/27/2024 17:56,Reliable tools and equipment for corporate efficiency.,1,0,Handmade
8,1,ThetaCloth,0,Delicious snacks made from natural ingredients.,38,34,1/20/2023 13:03,0,Light and citrusy with grapefruit tang,High-quality sportswear,1/20/2023 13:03,640,1,34,1/20/2023 13:03,Health and wellness products for premium experiences that promote wellness.,1,0,Eco-Friendly Products
9,1,IotaHealth,0,Beauty products that inspire confidence.,870,35,4/10/2025 6:48,0,Sweet and tangy with pineapple sweetness,Handcrafted wooden toys,4/10/2025 6:48,674,1,35,4/10/2025 6:48,Cutting-edge technology for innovative solutions designed for daily use.,1,0,Seasonal & Holidays
10,1,KappaElectronics,0,High-quality sports gear for champions.,458,36,5/4/2024 14:31,0,Bold and smoky with mesquite flavor,Sustainable home goods,5/4/2024 14:31,813,1,36,5/4/2024 14:31,Fun and educational digital marketing for children of all ages.,1,0,Stationery
11,1,LambdaSnacks,0,Fun and safe toys for children everywhere.,944,37,9/23/2023 11:20,0,Fresh and green with basil freshness,Delicious organic snacks,9/23/2023 11:20,907,1,37,9/23/2023 11:20,Specialty innovative solutions sourced from trusted suppliers.,1,0,Smart Home
12,1,MuBeauty,0,Precision tools for professionals and hobbyists.,859,38,6/30/2025 19:42,0,Nutty and rich with peanut butter taste,Natural bath salts,6/30/2025 19:42,888,1,38,6/30/2025 19:42,Innovative unique offerings to enhance productivity.,1,0,Personal Care
13,1,NuSports,0,Home products that blend design and functionality.,480,39,3/14/2024 9:05,0,Sweet and floral with rose water aroma,Premium workout gear,3/14/2024 9:05,209,1,39,3/14/2024 9:05,High-quality home and lifestyle products crafted with care.,1,0,Outdoor Gear
14,1,XiToys,0,Specialty coffee for the true connoisseur.,743,40,8/28/2023 15:16,0,Tart and tangy with rhubarb zing,Designer sunglasses,8/28/2023 15:16,155,1,40,8/28/2023 15:16,Creative solutions for balanced life for trendsetters.,1,0,Party Supplies
15,1,OmicronTools,0,Natural fruit juices packed with vitamins.,862,41,10/21/2025 22:34,0,Smooth and creamy with mascarpone notes,Healthy hydration products,10/21/2025 22:34,976,1,41,10/21/2025 22:34,Leading provider of fashion and apparel for modern businesses.,1,0,Baby Gear
16,1,PiHome,0,Freshly baked bread and pastries daily.,471,42,7/7/2024 5:42,0,Earthy and woody with sandalwood essence,Organic face masks,7/7/2024 5:42,963,1,42,7/7/2024 5:42,Advanced technology-driven services designed for daily use.,1,0,Security & Safety
17,1,RhoCoffee,0,Pet care products for happy and healthy animals.,610,43,12/12/2023 20:50,0,Sweet and fruity with peach nectar,Specialty tea blends,12/12/2023 20:50,532,1,43,12/12/2023 20:50,Eco-friendly solutions for cutting-edge designs to reduce environmental impact.,1,0,Camping & Hiking
18,1,SigmaJuice,0,Innovative tech solutions for modern life.,579,44,1/29/2025 10:03,0,Sharp and spicy with black pepper kick,Quality hiking clothes,1/29/2025 10:03,675,1,44,1/29/2025 10:03,Premium corporate efficiency crafted with care.,1,0,Bags & Luggage
19,1,TauBakery,0,High-quality food products for every kitchen.,3,45,2/25/2024 16:57,0,Light and zesty with lemon zest,Innovative smart devices,2/25/2024 16:57,452,1,45,2/25/2024 16:57,Reliable tools and equipment for innovative solutions.,1,0,Home Improvement
20,1,UpsilonPets,0,Fashion-forward clothing for trendsetters.,655,46,6/6/2023 8:14,0,Buttery and smooth with shortbread notes,Comfortable sports bras,6/6/2023 8:14,720,1,46,6/6/2023 8:14,Fun and educational home and lifestyle products for children of all ages.,1,0,Gardening Tools
21,1,PhiFashion,0,Refreshing drinks with natural flavors.,836,47,8/13/2025 13:23,0,Fresh and bright with kiwi tartness,Natural lip scrubs,8/13/2025 13:23,573,1,47,8/13/2025 13:23,Creative solutions for digital marketing sourced from trusted suppliers.,1,0,Smart Devices
